ID,TITLE,VIEW,DATE
52,40 Windows Commands you NEED to know (in 10 Minutes),3M views,1 year ago
53,learning Docker is HARD!! (this makes it easy),294K views,1 year ago
54,let’s subnet your home network // You SUCK at subnetting // EP 6,555K views,1 year ago
55,Docker Compose will BLOW your MIND!! (a tutorial),591K views,1 year ago
56,YouTubers are getting HACKED!!,580K views,1 year ago
57,build a meme Python website (Flask Tutorial for Beginners),429K views,1 year ago
58,a BASH script PUSH-UP counter (for #gains ),152K views,1 year ago
59,you need to learn SQL RIGHT NOW!! (SQL Tutorial for Beginners),1.3M views,1 year ago
60,the 30 Day Cert Challenge,241K views,1 year ago
61,HACK your way into a job (no experience required),345K views,1 year ago
62,Docker networking is CRAZY!! (you NEED to learn it),1.5M views,1 year ago
63,find HIDDEN urls!! (subdomain enumeration hacking) // ft. HakLuke,217K views,1 year ago
64,What is a Subnet Mask??? (you NEED to know it!!),415K views,1 year ago
65,ditch Google!! (build your own PRIVATE search engine),932K views,1 year ago
66,i KILLED my Linux computer!! (to teach you something),196K views,1 year ago
67,the $0.30 Hacking Lab,335K views,1 year ago
68,let’s play with a ZERO-DAY vulnerability “follina”,494K views,1 year ago
69,you need to HACK faster!! (Linux Terminal hacks YOU NEED!!),290K views,1 year ago
70,i bet you can't do this (because you still suck at subnetting),391K views,1 year ago
71,i created malware with Python (it's SCARY easy!!),2.1M views,1 year ago
72,this BASH script will KILL you.,260K views,1 year ago
73,deleting stuff from Python Lists // Python RIGHT NOW!! // EP 9,135K views,1 year ago
74,this BASH script will make you a MILLIONAIRE,690K views,1 year ago
75,Adding stuff to a Python List,211K views,1 year ago
76,we’re out of IP Addresses….but this saved us (Private IP Addresses),464K views,1 year ago
77,what is a List in Python?,194K views,1 year ago
78,BASH scripting will change your life,975K views,1 year ago
79,we ran OUT of IP Addresses!!,2M views,2 years ago
80,what is an IP Address? // You SUCK at Subnetting // EP 1,1.4M views,2 years ago
81,you need to learn BASH Scripting RIGHT NOW!! // EP 1,924K views,2 years ago
82,my credit card is dead (no budget PC build),122K views,2 years ago
83,my kids built a HACKING computer!! (i almost died),265K views,2 years ago
84,Python Logical Operators (the fun stuff!!),227K views,2 years ago
85,forcing my wife to learn Linux in 24hrs,1M views,2 years ago
86,Kali Linux APPS on Windows in 5min (WSLg),607K views,2 years ago
87,make CRAZY money in tech (top 5 Entry-Level Certs),964K views,2 years ago
88,if if if if if....elif,304K views,2 years ago
89,i HACKED my wife’s web browser (it’s SCARY easy!!),3.8M views,2 years ago
90,2 cool (web) things to do in Linux // Linux for Hackers // EP 8,320K views,2 years ago
91,If Else Statements in Python // Python RIGHT NOW!! // EP 4,366K views,2 years ago
92,i hired my replacement….kind of (the FUTURE of NetworkChuck),137K views,2 years ago
93,mining crypto with your internet?!?!,434K views,2 years ago
94,i created a 24/7 livestream (to help you study),233K views,2 years ago
95,create the ULTIMATE hacking lab in 5min!! (Docker Containers STREAMING Kali Linux to your browser),582K views,2 years ago
96,i'm buying everyone NFTs for Christmas,133K views,2 years ago
97,KILL Linux processes!! (also manage them) // Linux for Hackers // EP 7,246K views,2 years ago
98,you need to create a Cryptocurrency RIGHT NOW!! (Solana token),891K views,2 years ago
99,putting 5G and MEC to the test!! (does it even matter??),77K views,2 years ago
100,Cryptocurrency Mining on a Raspberry Pi (it's fun....trust me),2.1M views,2 years ago
101,my SUPER secure Raspberry Pi Router (wifi VPN travel router),1.4M views,2 years ago
102,you need to learn Google Cloud RIGHT NOW!!,768K views,2 years ago
103,Nvidia does cybersecurity?!?.....and networking?,88K views,2 years ago
104,do you need to be good at MATH to learn Python? // Python RIGHT NOW!! // EP 3,565K views,2 years ago
105,FREE Kali Linux in the Cloud (AWS),354K views,2 years ago
106,i bought a new SERVER!! (VMware ESXi Setup and Install),1.1M views,2 years ago
107,how to build a Raspberry Pi NAS (it’s AWESOME!!),1.6M views,2 years ago
108,this device is HACKING my network!! (I'm letting it happen),213K views,2 years ago
109,let’s go deeper into Python!! // Python RIGHT NOW!! // EP 2,741K views,2 years ago
110,i hate talking on the phone…..,66K views,2 years ago
111,your home router SUCKS!! (use pfSense instead),5.3M views,2 years ago
112,bad USBs are SCARY!! (build one with a Raspberry Pi Pico for $8),2.7M views,2 years ago
113,you need to learn Python RIGHT NOW!! // EP 1,2.2M views,2 years ago
114,start- stop- restart Linux services (daemon HUNTING!!) // Linux for Hackers // EP 6,411K views,2 years ago
115,you NEED to learn Port Security…….RIGHT NOW!! // FREE CCNA // EP 14,591K views,2 years ago
116,access EVERYTHING from your web browser!! (Linux and Windows Desktop- SSH) // Guacamole Install,1.6M views,2 years ago
117,i built a Raspberry Pi SUPER COMPUTER!! // ft. Kubernetes (k3s cluster w/ Rancher),1.9M views,2 years ago
118,DDNS on a Raspberry Pi using the Cloudflare API (Dynamic DNS),323K views,2 years ago
119,how to get remote access to your hacking targets // reverse shells with netcat (Windows and Linux!!),2.2M views,2 years ago
120,You need a NAS RIGHT NOW!! (How I run my Hybrid-Cloud YouTube business),1M views,2 years ago
121,you need to learn Load Balancing RIGHT NOW!! (and put one in your home network!),1M views,2 years ago
122,apt- dpkg- git- Python PiP (Linux Package Management) // Linux for Hackers // EP 5,763K views,2 years ago
123,will my dad LOSE his job? (a TRADITIONAL IT infrastructure engineer),161K views,2 years ago
124,fiber optic cables (what you NEED to know) // FREE CCNA // EP 13,567K views,2 years ago
125,sudo = POWER!! (managing users in Linux) // Linux for Hackers // EP4,658K views,2 years ago
126,i put a DARK WEB website on a Raspberry Pi!!,1.4M views,2 years ago
127,Twitter OSiNT (Ethical Hacking),408K views,2 years ago
128,Virtual Machines Pt. 2 (Proxmox install w/ Kali Linux),1.1M views,2 years ago
129,installing my “FREE” cloud phone system (AWS and 3CX),536K views,2 years ago
130,HELP!! (for when you suck at Linux) // Linux for Hackers // EP3,840K views,2 years ago
131,you need a website RIGHT NOW!! (create a website for FREE),1.4M views,2 years ago
132,the Linux File System explained in 1.233 seconds // Linux for Hackers // EP 2,2M views,3 years ago
133,my favorite IT study tool - Notion,212K views,3 years ago
134,Instagram OSiNT,1.8M views,3 years ago
135,Linux for Hackers // EP 1 (FREE Linux course for beginners),2.6M views,3 years ago
136,5 Steps to Secure Linux (protect from hackers),687K views,3 years ago
137,why Power over Ethernet (PoE) is amazing!! // FREE CCNA // EP 12,434K views,3 years ago
138,find info on phone numbers with PhoneInfoga,4.4M views,3 years ago
139,find social media accounts with Sherlock (in 5 MIN),4M views,3 years ago
140,how to build a HACKING lab (to become a hacker),1.1M views,3 years ago
141,forcing my kids to make Ethernet cables // FREE CCNA // EP 11,562K views,3 years ago
142,how HACKERS take down big companies (it's your code),201K views,3 years ago
143,you need to learn Hybrid-Cloud RIGHT NOW!! // FREE CCNA // EP 10,352K views,3 years ago
144,you need to learn Virtual Machines RIGHT NOW!! (Kali Linux VM- Ubuntu- Windows),8.7M views,3 years ago
145,thank you,36K views,3 years ago
146,Python......when should you learn it?,158K views,3 years ago
147,your first Hacking certification (PenTest+),195K views,3 years ago
148,hack like Mr. Robot,440K views,3 years ago
149,i failed my exam,165K views,3 years ago
150,5G: what you DON'T know!! (3 things),123K views,3 years ago
151,let's hack your home network // FREE CCNA // EP 9,3.7M views,3 years ago
152,learn Python- Hacking- Linux- CCNA.....hurry!! (6 deals you don't want to miss),101K views,3 years ago
153,shut up and just DO it!! (IT certifications),88K views,3 years ago
154,i LOVE this switch!! // Cisco Enterprise Switch for SMALL business (Catalyst 1000 series),255K views,3 years ago
155,you’re about to get hacked!! (7 reasons why) // FREE Security+ // EP 6,105K views,3 years ago
156,my beard isn’t real // FREE Security+ // EP 5,65K views,3 years ago
157,your favorite websites can be HACKED! (watering holes- typo squatting) // FREE Security+ // EP 4,146K views,3 years ago
158,how Hackers SNiFF (capture) network traffic // MiTM attack,1.5M views,3 years ago
159,i hacked my grandma (social engineering and pretexting) // FREE Security+ // EP 3,350K views,3 years ago
160,WAN....it's not the internet!! (sometimes) // FREE CCNA // EP 8,478K views,3 years ago
161,Phishing attacks are SCARY easy to do!! (let me show you!) // FREE Security+ // EP 2,3M views,3 years ago
162,VMware on a Raspberry Pi!?!?! (ESXi Install),656K views,3 years ago
163,3 Hacking Skills EVERYONE has // FREE Security+ // EP 1,601K views,3 years ago
164,Data Center NETWORKS (what do they look like??) // FREE CCNA // EP 7,747K views,3 years ago
165,FREE CompTIA Security+ Course // SY0-501 vs SY0-601 // EP 0,424K views,3 years ago
166,i bought a DDoS attack on the DARK WEB (don't do this),5M views,3 years ago
167,DO NOT design your network like this!! // FREE CCNA // EP 6,3M views,3 years ago
168,How Hackers hide files on Windows 10 and Linux,262K views,3 years ago
169,5G will change gaming FOREVER,30K views,3 years ago
170,you need to learn Kubernetes RIGHT NOW!!,1.1M views,3 years ago
171,the Raspberry Pi PHONE SYSTEM! (3CX PBX at home),719K views,3 years ago
172,setup a FREE VPN server in the cloud (AWS),994K views,3 years ago
173,how the OSI model works on YouTube (Application and Transport Layers) // FREE CCNA // EP 5,544K views,3 years ago
174,how to HACK a password // password cracking with Kali Linux and HashCat,6.5M views,3 years ago
175,new Kali Linux GUI on Windows 10 (WSL 2) // 2020.3 Release,303K views,3 years ago
176,you need to learn AWS RIGHT NOW!! (Amazon Web Services),770K views,3 years ago
177,REAL LIFE example!! (TCP/IP and OSI layers) // FREE CCNA // EP 4,718K views,3 years ago
178,what is TCP/IP and OSI? // FREE CCNA // EP 3,972K views,3 years ago
179,learning hacking? DON'T make this mistake!! (hide yourself with Kali Linux and ProxyChains),3M views,3 years ago
180,What is a ROUTER? // FREE CCNA // EP 2,924K views,3 years ago
181,how a social engineering attack DESTROYED Twitter (feat. Marcus Hutchins) // Twitter Hack 2020,264K views,3 years ago
182,HUGE announcement!!,63K views,3 years ago
183,massive TWITTER HACK! (Elon Musk- Bill Gates- Mr. Beast- Kanye),57K views,3 years ago
184,What is a SWITCH? // FREE CCNA // Day 1,1.4M views,3 years ago
185,Nmap Tutorial to find Network Vulnerabilities,2.6M views,3 years ago
186,FREE CCNA // What is a Network? // Day 0,1.6M views,3 years ago
187,Kali Linux on Windows in 5min (WSL 2 GUI),2.5M views,3 years ago
188,Google HACKING (use google search to HACK!),1.7M views,3 years ago
189,you need to learn HACKING RIGHT NOW!! // CEH (ethical hacking),1.3M views,3 years ago
190,i'm feeling stupid today,53K views,3 years ago
191,I PASSED the Linux+ (how to pass the CompTIA Linux+ Exam),252K views,3 years ago
192,STRESSED OUT!! (you need to learn EVERYTHING RIGHT NOW!!),116K views,3 years ago
193,Puppet for Network Engineers (CCNA and CCNP Automation),74K views,3 years ago
194,IT certifications: one thing I HATE! (but not anymore),48K views,3 years ago
195,get started with Ansible Network Automation (FREE cisco router lab),205K views,3 years ago
196,you need to learn Ansible RIGHT NOW!! (Linux Automation),828K views,3 years ago
197,BLOCK EVERYTHING w/ PiHole on Docker- OpenDNS and IFTTT,721K views,3 years ago
198,block ADULT sites and other BAD STUFF on your home network (EASY),518K views,3 years ago
199,you need to learn Docker RIGHT NOW!! // Docker Containers 101,2.5M views,4 years ago
200,the UniFi Dream Machine Pro....the nerdiest home router,707K views,4 years ago
201,How to Setup a Raspberry Pi LEARNING Desktop (Linux- Hacking- Coding),1.3M views,4 years ago
202,GOODBYE Microsoft certifications!! (killing off the MCSA- MCSE- MCSD),254K views,4 years ago
203,UniFi Dream Machine - the BEST WiFi router (Review and Advanced Setup),723K views,4 years ago
204,OVERWHELMED with technology (IT)....what can I do?,51K views,4 years ago
205,this year....I'm going to become a HACKER!!,116K views,4 years ago
206,CCNA 200-301: Complete Video Training Course from CBT Nuggets,83K views,4 years ago
207,The tools to learn Python- Linux- Cisco 🔥🔥 HURRY,64K views,4 years ago
208,CCNA in 84 days?,81K views,4 years ago
209,Raspberry Pi Halloween Automation - IFTTT- Alexa- REST API- Network Automation,73K views,4 years ago
210,Become an IT Project Manager (make a TON of money!) feat. Jeremy Cioara - PMP Certification,108K views,4 years ago
211,How WiFi 6 (REALLY) works --- Is it a SWITCH? Feat. the Clear to Send Podcast,18K views,4 years ago
212,UNLIMITED Google Drive Storage for $12/month,70K views,4 years ago
213,Using BAD Linux commands (DO NOT USE) on a VM and Cisco Router,416K views,4 years ago
214,Hacking (redacted) PUBLIC WiFi with a Raspberry Pi and Kali Linux,1M views,4 years ago
215,WHY you need to study Python- Linux- CCNA 📚 AT THE SAME TIME! // ft. Cisco_Panther,211K views,4 years ago
216,EVERYONE needs to learn LINUX - ft. Raspberry Pi 4,2.1M views,4 years ago
217,HOW TO get your CCNP in 2020 (no CCNA required),330K views,4 years ago
218,Get your CCNA RIGHT NOW!! (before the new CCNA 200-301),188K views,4 years ago
219,What happened to the CCNA? CCNP? CCIE? - An Overview (2019),70K views,4 years ago
220,The New CCNA - BIGGEST IT Certification updates EVER!,103K views,4 years ago
221,Will there be a NEW CCNA in 2019? ft. Jeremy Cioara (interview),34K views,4 years ago
222,Build Your Team - IT Certification Motivation // ft. Jeremy Cioara / Bart Castle (CBT Nuggets),10K views,4 years ago
223,Network Engineer for a School?? // Working in IT for a School District - CCENT/CCNA,17K views,4 years ago
224,SCHEDULED THE CCIE EXAM!!,34K views,4 years ago
225,UNLIMITED CLOUD STORAGE - Synology + Crashplan - $10/month,68K views,4 years ago
226,Do you REALLY want it? Why? CCENT- CCNA- A+- Security+,47K views,4 years ago
227,Is MPLS DEAD?!? w/ Keith Barker and Jason Gooley | CCNA CCNP CCIE,27K views,4 years ago
228,HACK your IT Study Habits - CCENT - CCNA - A+ | Atomic Habits,143K views,4 years ago
229,WI-FI 6- Why it's the BIGGEST update to Wi-Fi EVER! - 802.11ax,788K views,5 years ago
230,CCNA Cyber Ops vs CCNA Security,112K views,5 years ago
231,Get your CCNA in 2019,115K views,5 years ago
232,CCNA Lab in the Azure Cloud for FREE! - GNS3 Setup in Microsoft Azure,121K views,5 years ago
233,David Bombal and NetworkChuck - This is IT! EP 1 | Azure- CiscoLIVE- Devnet,33K views,5 years ago
234,I PASSED THE TSHOOT EXAM!! - CCNP TSHOOT (I also failed),35K views,5 years ago
235,What is a VMware Engineer? | VMware Certified Professional - VCP | MCSA | CCNA,105K views,5 years ago
236,5 Reasons You Shouldn't Become a Network Engineer | CCNA | Information Technology,476K views,5 years ago
237,CompTIA or Cisco? - Revisiting CCENT vs Network+ in 2019 | CCNA | MTA | MCSA,152K views,5 years ago
238,Planning for 2019 - Information Technology Goals - CCNA | AWS | MCSA,24K views,5 years ago
239,Fighting IMPOSTER SYNDROME in Information Technology - Network Engineer | System Engineer | CCNA,26K views,5 years ago
240,Using Arduino- Raspberry Pi and Python to Monitor Cisco Router - #DEVNET CCNA,27K views,5 years ago
241,The ONE Skill You NEED in IT - Information Technology,140K views,5 years ago
242,How To get a JOB with a CCNA (Network Engineer) | CCNA Routing and Switching,188K views,5 years ago
243,NetworkChuck 10 Days of Christmas 2018 - CBT Nuggets | David Bombal | Kevin Wallace (and more!!),6.7K views,5 years ago
244,I (FINALLY!) Scheduled Cisco CCNP Certification Exam TSHOOT | 300-135,12K views,5 years ago
245,What if you forgot EVERYTHING? - Re-Learning IT after MEMORY LOSS w/ Shawn Powers | Linux | CCNA,18K views,5 years ago
246,What is SD-WAN? say GOODBYE to MPLS- DMVPN- iWAN... w/ SDN- Cisco and Viptela,537K views,5 years ago
247,6 STEPS to IT CAREER SUCCESS!! - ft. Kevin Wallace | CCNA | CCNP | CCIE | Network+,74K views,5 years ago
248,HOW to Start Coding (RIGHT NOW!) as a Network Engineer - ICND1 | CCNA CCNP & Intent-Based Networking,89K views,5 years ago
249,What's next for NetworkChuck? *UPDATE* | CCNA | CCNP | Network Automation,14K views,5 years ago
250,Do You Need IT Certifications to Get Started in IT? ft. Jeremy Cioara,25K views,5 years ago
251,Network Engineers and AWS (Amazon Web Services) FEAT. Anthony Sequeira | CCNA | CCENT,88K views,5 years ago
252,The FUTURE of Information Security Engineers - Cisco Security Automation (DNA CENTER),68K views,5 years ago
253,I PASSED THE CCNA EXAM!! - ICND2 Exam Tips,54K views,5 years ago
254,Moving my HOME NETWORK to a DATA CENTER w/ DMVPN - CCNA | CCNP,67K views,5 years ago
255,How to become a DEVOPS Engineer feat. Shawn Powers | Linux+ | LPIC-1,129K views,5 years ago
256,I'm going to Cisco Live!!! - CiscoLIVE 2018 Orlando,6.1K views,5 years ago
257,CCNA Tips Feat. Jeremy Cioara!! - CCENT | CCNP,41K views,5 years ago
258,STOP Buying IT Certification Books - CCNA | CCNP | A+ | Network+,208K views,5 years ago
259,Hack a Cisco Switch with a Raspberry Pi - CCNA Security - CCNP Security - Network+,70K views,5 years ago
260,Is NetworkChuck Over!?!?!,17K views,6 years ago
261,7 CCNA CCNP Study Tips for the New Year - 2018!! w/ Keith Barker CCIE,32K views,6 years ago
262,I am officially a CBT Nuggets Trainer!! - NetworkChuck,21K views,6 years ago
263,CCNA Exam: 2 Exams or 1? - ICND1 (CCENT) + ICND2 or CCNA Composite?,29K views,6 years ago
264,Network Engineer or Systems Engineer? CCNA or MCSA? VCA?,73K views,6 years ago
265,How Long Does It Take to Become a Network Engineer? - CCNA | CCNP,69K views,6 years ago
266,How Much Money Do Network Engineers Make? - CCNA | CCNP,211K views,6 years ago
267,Am I Too OLD to Become a Network Engineer? Study for CCNA | CCNP?,31K views,6 years ago
268,Should I Learn LINUX with the CCNA | CCNP? - Network Engineer,20K views,6 years ago
269,Is it still WORTH IT to become a Network Engineer? | CCNA CCNP,29K views,6 years ago
270,Should I Get the CCNP After the CCNA?,18K views,6 years ago
271,CCNA Labs - Packet Tracer or GNS3?,73K views,6 years ago
272,NetworkChuck 10 Days of Christmas GIVEAWAY!! (CCNA Packet Tracer Labs),2.6K views,6 years ago
273,You CAN Learn Python - 10 WINNERS!! - CCNA | CCNP Network Engineer,4K views,6 years ago
274,Learning Python is HARD!! - CCNA | CCNP Network Engineer,117K views,6 years ago
275,Programmers Becoming Network Engineers? - Collab with SimpleProgrammer,15K views,6 years ago
276,3 Cisco CLI (Command-line) Hacks (CCNA) + CBT Nuggets WINNER ANNOUNCEMENT!!,25K views,6 years ago
277,CBT Nuggets GIVEAWAY!! - Get Your CCNA- MCSA- VCP- Security+,6.8K views,6 years ago
278,Should I Self-Study for the CCNA? (Or any other IT Certification),98K views,6 years ago
279,I PASSED THE CCENT EXAM!! - ICND1 Exam Tips,143K views,6 years ago
280,Voice VLANs - What are they and why do we need them?,54K views,6 years ago
281,CompTIA or Cisco? - Should I get the CompTIA A+/Network+ OR the Cisco CCNA/CCENT - Microsoft MCSA?,430K views,6 years ago
282,WHO WON? - CCNA GiveAWAY - INE BUNDLE!!,2.1K views,6 years ago
283,Cisco Call Manager (CUCM) - Route Groups- Route Lists- Route Patterns!! - Part 2,12K views,6 years ago
284,Cisco Call Manager (CUCM) - Route Groups- Route Lists- Route Patterns!! - Part 1,34K views,6 years ago
285,How Does Cisco Create Exams? + CCNA GiveAWAY - INE BUNDLE!!,7.2K views,6 years ago
286,3 Ways to Get Out of a Study Slump - CCNA | CCNP Study,11K views,6 years ago
287,CCNA or Python? | Should I Become a Network Engineer or a Programmer?,230K views,6 years ago
288,Am I Smart Enough to Be a Network Engineer? - CCNA | CCNP Study,259K views,6 years ago
289,5 Tips for Studying at Social Gatherings - CCNA CCNP Study,5.3K views,6 years ago
290,GIVEAWAY!! - INE CCNP Routing & Switching COMPLETE Training Bundle,6.2K views,6 years ago
291,I QUIT MY JOB TO TRAVEL - CCNA CCNP Success Story!!,43K views,6 years ago
292,How to Stop Procrastinating and Study for Your CCNA CCNP,74K views,7 years ago
293,Trying to Study for my CCNA CCNP with KIDS!! - Study Tips for CCNA CCNP,19K views,7 years ago
294,CCNA or COLLEGE? - Become a Network Engineer,322K views,7 years ago
295,CUCM Calling Search Spaces and Partitions: Explained with Star Wars,43K views,7 years ago
296,7 CCNA CCNP Study Tips for the New Year - 2017!!,156K views,7 years ago
297,Add a Hunt Group Login/Logout Button to a Cisco Phone - NetworkChuck,18K views,8 years ago
298,Should I Use a Brain Dump on my CCNA/CCNP/MCSA Exam?,85K views,8 years ago
299,How to Upgrade/Activate a License on a Cisco ASA (Adaptive Security Appliance),44K views,9 years ago
300,How to Create a Hunt Group - CUCM 8/9/10,97K views,9 years ago
301,Network Chuck,133K views,9 years ago
